"","country","ccode","year","hdecadec","independence","occupied","top_incrate_n","top_incrate_nl","topitaxrate2","effective_p99_99","irs_soi_top1","himobpopyear2p","himobpopyearp","wwimassmob","unisuffrage","timemarkeru","competitive_elections","wwidemoc","directelec","electorate25","electorate50","electorate75","noupper","left_executive","timemarkerp","Top1incomeshare","Top001incomeshare","wealth_p99_00_2014","majoritarian1","infl_cris","currency_cris","bank_cris","debt_cris_ext","debt_cris_dom","stock_crash","any_cris","Neightop_incrate_n","trade_openness","capital","rgdppc","pop","rgdp","growth","recession","revgdp_imf","revgdp_imf_ip","australiatrend","austriatrend","belgiumtrend","canadatrend","denmarktrend","finlandtrend","francetrend","germanytrend","irelandtrend","italytrend","japantrend","netherlandstrend","newzealandtrend","norwaytrend","koreatrend","spaintrend","swedentrend","switzerlandtrend","uktrend","usatrend","fem_vote","wwimassmob_post"
"1234","Australia",900,1901,18,1,0,0,0,0,NA,NA,0,0,1,0,NA,1,1,1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,5,NA,NA,3838.73517786561,3795,14569005056,NA,NA,2.6253,2.6253,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1262","Australia",900,1902,18,1,0,0,0,0,NA,NA,0,0,1,1,NA,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,5,NA,NA,3822.5974025974,3850,14718550016,0.010264596901834,0,2.7027,2.7027,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1273","Australia",900,1903,18,1,0,0,0,0,NA,NA,0,0,1,1,NA,1,1,1,1,1,1,1,0,NA,NA,NA,NA,1,0,0,0,0,0,0,0,5,NA,NA,4076.23203285421,3896,15880095744,0.0789171308279037,0,2.80374,2.80374,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1286","Australia",900,1904,18,1,0,0,0,0,NA,NA,0,0,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,0,0,0,0,0,0,0,5,NA,NA,4294.72883933097,3946,16948070400,0.067252404987812,0,2.45536,2.45536,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1311","Australia",900,1905,18,1,0,0,0,0,NA,NA,0,0,1,1,NA,1,1,1,1,1,1,1,0,-3,NA,NA,NA,1,0,0,0,0,0,0,0,5,NA,NA,4281.96803196803,4004,17145127936,0.0116271367296576,0,2.7027,2.7027,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1317","Australia",900,1906,19,1,0,0,0,0,NA,NA,0,0,1,1,NA,1,1,1,1,1,1,1,0,-2,NA,NA,NA,1,0,0,0,0,0,0,0,5,NA,NA,4507.38552437223,4062,18307434496,0.0677922368049622,0,2.71399,2.71399,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1342","Australia",900,1907,19,1,0,0,1.667,0,NA,NA,0,0,1,1,NA,1,1,1,1,1,1,1,0,-1,NA,NA,NA,1,0,0,0,0,0,0,0,5,NA,NA,4616.42839835231,4127,19050231808,0.0405735336244106,0,2.78293,2.78293,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1361","Australia",900,1908,19,1,0,0,1.667,0,NA,NA,0,0,1,1,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,1,0,0,0,0,0,0,0,5,NA,NA,4693.11412913986,4197,19696521216,0.0339255407452583,0,2.61194,2.61194,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1366","Australia",900,1909,19,1,0,0,1.667,0,NA,NA,0,0,1,1,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,0,0,0,0,0,0,0,5,NA,NA,4980.59841047218,4278,21308717056,0.0818518027663231,0,2.79232,2.79232,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1385","Australia",900,1910,19,1,0,0,1.667,0,NA,NA,0,0,1,1,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,1,0,0,0,0,0,0,0,5.80000019073486,NA,NA,5209.82857142857,4375,22793750528,0.0696913599967957,0,3.04976,3.04976,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
