"","ID","support_iec","altruism","reciprocity","industry","emp_status","age","female","educ_high","incgr_high","right"
"1",122303373,1,0,0,0,1,57,1,1,0,0
"2",147010165,0,1,1,NA,0,52,1,0,1,1
"3",147213340,0,1,1,NA,0,46,1,0,0,0
"4",147515365,1,0,0,NA,3,66,0,1,1,0
"5",147629000,1,1,0,NA,2,22,1,1,1,0
"6",147651094,0,0,0,NA,0,21,1,1,1,1
"7",147715481,1,1,0,1,1,53,0,1,1,0
"8",147799694,0,0,1,NA,2,25,1,0,0,0
"9",147810730,1,0,1,NA,1,45,1,1,0,0
"10",147812321,0,1,0,1,1,56,0,0,1,0
"11",147890748,0,1,0,1,1,55,0,0,0,1
"12",147910536,1,1,1,0,1,63,1,0,1,0
"13",147913036,1,1,0,1,1,65,0,0,0,0
"14",147919067,0,0,1,1,1,54,0,1,0,1
"15",147935816,0,0,0,1,1,58,0,0,0,0
"16",147958748,1,1,0,NA,0,27,0,1,0,0
"17",147972874,0,0,1,NA,3,62,0,1,1,0
"18",147981299,0,0,0,NA,0,34,1,0,0,0
"19",148043569,1,0,1,NA,2,29,1,1,0,0
"20",148077866,1,1,0,NA,2,31,1,0,0,0
"21",148122319,1,1,1,NA,0,62,0,1,1,0
"22",148154797,1,1,1,0,1,28,1,1,0,0
"23",148162743,1,1,0,0,1,61,0,1,1,0
"24",148176192,0,0,0,1,1,56,0,1,1,1
"25",148179217,0,0,0,NA,0,45,0,0,0,0
"26",148184006,0,0,1,NA,0,42,1,1,0,1
"27",148185193,1,1,1,0,1,26,0,1,0,0
"28",148185348,0,0,1,1,1,25,1,1,0,0
"29",148188624,0,0,0,1,1,55,1,1,1,0
"30",148191945,1,0,1,NA,2,20,0,1,1,0
"31",148219315,0,1,1,NA,0,62,0,1,0,0
"32",148222459,0,0,0,NA,2,64,0,0,0,1
"33",148229853,1,0,1,0,1,50,1,1,0,0
"34",148230102,1,0,1,0,1,51,1,1,1,1
"35",148234962,1,0,1,NA,1,39,1,1,0,0
"36",148235518,0,0,0,NA,3,74,1,1,0,0
"37",148236970,1,0,1,NA,0,55,0,0,0,0
"38",148240446,1,0,0,0,1,50,0,1,1,0
"39",148249782,0,1,1,NA,3,66,0,1,1,1
"40",148256507,0,0,0,NA,3,60,1,0,0,0
"41",148256684,0,0,0,NA,3,66,1,0,0,0
"42",148257693,0,0,0,1,1,55,1,1,0,0
"43",148259428,0,0,0,NA,0,54,1,0,0,0
"44",148262611,1,1,0,NA,3,68,0,0,0,0
"45",148265529,0,0,1,0,1,25,1,0,0,0
"46",148265747,1,1,0,NA,1,55,0,0,1,1
"47",148265951,1,1,0,1,1,55,1,1,1,0
"48",148271899,1,0,0,NA,0,60,0,1,1,1
"49",148285292,1,0,1,0,1,60,1,1,0,0
"50",148296733,1,0,1,NA,3,74,1,0,0,0
"51",148329581,1,0,1,0,1,31,1,1,0,0
"52",148331890,0,0,0,0,1,56,1,1,0,0
"53",148332436,1,0,0,0,1,46,0,1,0,1
"54",148334036,0,0,1,0,1,51,1,0,0,0
"55",148336302,1,0,0,NA,3,61,1,1,0,0
"56",148342736,0,1,0,0,1,55,1,1,1,1
"57",148345482,0,0,1,NA,0,70,0,0,0,0
"58",148350057,0,1,0,0,1,40,0,1,1,1
"59",148358973,0,1,1,NA,3,82,0,0,0,1
"60",148363381,0,0,0,0,1,41,0,1,1,1
"61",148367623,0,0,0,NA,3,80,0,1,1,1
"62",148371745,1,0,0,NA,0,53,0,0,0,0
"63",148371781,1,1,0,NA,0,54,0,1,0,0
"64",148378227,0,1,0,1,1,55,1,1,1,1
"65",148384422,1,1,0,0,1,50,0,1,0,0
"66",148386296,1,0,0,NA,2,46,1,0,0,0
"67",148390722,0,0,1,NA,3,72,1,0,1,1
"68",148393015,0,1,0,1,1,64,0,1,1,1
"69",148403258,0,0,0,NA,0,35,1,1,0,1
"70",148404971,1,0,0,NA,3,61,0,0,0,0
"71",148453131,0,1,1,0,1,57,1,1,1,1
"72",148466552,0,0,0,NA,3,81,1,0,1,1
"73",148469424,1,0,0,NA,3,66,1,1,0,0
"74",148474428,1,0,0,1,1,46,0,1,0,0
"75",148480867,0,0,0,1,1,44,0,1,0,0
"76",148485664,1,1,1,NA,0,31,1,1,0,0
"77",148486830,0,0,0,1,1,48,0,1,1,0
"78",148490469,0,0,0,0,1,52,0,1,0,1
"79",148494122,0,0,0,0,1,50,0,1,0,0
"80",148494249,0,1,0,0,1,62,0,1,0,1
"81",148494361,0,1,1,NA,2,56,0,1,1,1
"82",148497217,0,1,0,0,1,52,1,1,0,0
"83",148499174,0,0,1,NA,2,44,1,1,1,0
"84",148499347,1,0,1,0,1,62,1,1,0,0
"85",148499910,0,0,0,1,1,64,1,0,0,1
"86",148500739,0,1,1,NA,2,20,1,1,1,1
"87",148503849,0,0,0,1,1,61,0,0,1,1
"88",148504088,1,0,1,1,1,34,1,1,1,0
"89",148504279,0,1,0,NA,2,62,0,1,1,1
"90",148505404,1,1,1,1,1,28,0,1,1,0
"91",148506533,1,1,0,0,1,59,1,1,1,0
"92",148506543,0,1,1,0,1,37,1,1,0,1
"93",148507925,0,0,0,1,1,43,1,0,0,0
"94",148511195,0,0,0,NA,0,58,1,1,1,1
"95",148514695,0,0,1,1,1,52,0,1,0,1
"96",148514733,0,0,1,0,1,49,1,0,1,0
"97",148522280,1,0,0,0,1,45,0,1,1,0
"98",148528585,1,0,0,0,1,62,0,1,1,0
"99",148530746,1,0,1,NA,3,68,0,0,0,0
"100",148531996,1,0,0,NA,0,59,1,1,0,0
"101",148533114,0,0,0,NA,3,59,1,0,0,1
"102",148534994,0,0,0,NA,0,63,1,0,0,0
"103",148537008,0,0,1,0,1,46,1,0,0,0
"104",148537248,0,0,1,NA,0,41,1,1,0,1
"105",148537336,1,1,1,NA,0,71,1,0,0,1
"106",148537381,1,0,1,0,1,62,1,1,1,0
"107",148537401,1,0,0,1,1,41,0,1,1,1
"108",148537503,0,1,1,1,1,50,0,1,0,1
"109",148537986,1,0,0,0,1,45,0,1,1,0
"110",148539975,1,1,1,0,1,50,1,0,0,0
"111",148539993,0,1,0,NA,0,58,1,0,0,1
"112",148540143,1,0,0,NA,0,59,1,1,1,0
"113",148540200,1,0,1,0,1,39,1,1,0,0
"114",148540360,0,0,0,NA,3,62,0,1,0,1
"115",148540377,0,1,0,1,1,57,0,1,1,1
"116",148540474,0,0,1,1,1,53,0,0,0,1
"117",148540645,0,0,1,NA,3,69,1,1,1,0
"118",148542522,1,0,1,NA,3,77,1,1,0,0
"119",148542596,0,0,0,NA,3,67,0,1,1,1
"120",148542686,0,0,0,0,1,55,1,1,0,1
"121",148542913,1,0,1,0,1,45,1,1,1,0
"122",148542933,0,1,0,NA,0,36,1,1,1,0
"123",148543055,1,0,1,0,1,38,1,1,1,0
"124",148543154,0,0,0,NA,3,73,0,1,1,1
"125",148543179,1,1,0,1,1,38,0,1,0,0
"126",148543299,0,0,0,1,1,48,1,1,0,1
"127",148543314,0,0,1,0,1,56,1,1,1,1
"128",148543579,0,0,0,0,1,65,0,1,1,1
"129",148546007,1,0,0,NA,0,62,1,1,0,0
"130",148546046,0,0,1,0,1,56,0,1,1,0
"131",148546282,0,1,0,NA,0,73,0,0,0,1
"132",148548012,1,1,1,1,1,48,1,1,0,0
"133",148548081,0,1,0,NA,0,55,1,0,1,0
"134",148548160,0,0,1,0,1,47,1,1,1,1
"135",148550506,1,0,0,0,1,45,1,1,1,0
"136",148550588,0,1,0,NA,3,73,0,1,0,1
"137",148550675,0,0,0,1,1,39,0,1,1,1
"138",148550744,0,1,1,NA,3,64,0,1,1,1
"139",148551015,0,1,0,1,1,56,0,1,1,1
"140",148551290,1,0,1,NA,0,40,1,1,1,0
"141",148551346,0,0,0,NA,0,54,0,1,1,1
"142",148551363,1,0,1,0,1,53,1,1,1,0
"143",148551365,1,1,0,NA,0,64,0,1,0,0
"144",148551446,1,0,1,NA,0,46,0,1,0,0
"145",148551637,0,0,1,0,1,20,1,1,0,1
"146",148553433,1,1,0,0,1,54,0,1,1,0
"147",148553540,1,1,0,NA,0,44,0,1,1,0
"148",148553636,1,0,1,0,1,50,0,1,0,0
"149",148553906,0,1,0,0,1,55,0,0,1,1
"150",148553965,1,0,0,0,1,59,1,1,0,0
"151",148554050,1,1,0,0,1,81,1,1,0,1
"152",148554268,1,0,1,NA,0,54,0,0,0,0
"153",148556111,0,0,0,NA,3,70,1,0,0,0
"154",148556351,0,1,0,1,1,57,0,1,0,1
"155",148556542,1,1,1,0,1,39,1,1,1,0
"156",148556794,0,1,1,NA,3,68,0,1,1,1
"157",148556803,1,1,1,NA,0,60,0,1,0,0
"158",148558495,0,0,1,0,1,51,1,1,1,1
"159",148558530,0,1,1,NA,3,61,0,1,0,1
"160",148558753,0,0,1,1,1,35,1,1,1,1
"161",148558786,0,1,0,0,1,49,0,1,1,0
"162",148558790,0,0,1,0,1,39,0,1,1,1
"163",148558839,0,0,0,NA,2,33,1,1,0,0
"164",148558899,1,0,1,NA,0,64,1,1,0,0
"165",148559063,1,0,0,0,1,41,0,1,1,0
"166",148559770,1,1,0,1,1,28,1,0,0,0
"167",148560739,1,0,1,NA,0,48,1,1,0,0
"168",148560842,0,0,0,NA,3,63,1,1,1,0
"169",148561241,1,0,1,NA,2,39,0,1,0,0
"170",148561336,0,0,0,1,1,56,0,1,0,0
"171",148563110,0,0,1,1,1,59,0,0,1,1
"172",148563442,1,1,1,NA,0,51,1,1,0,1
"173",148565122,1,1,0,NA,0,56,1,0,0,0
"174",148565366,1,0,1,NA,0,52,1,0,0,0
"175",148569138,1,1,0,0,1,55,1,0,1,0
"176",148569473,0,0,0,0,1,51,0,1,1,1
"177",148571067,1,0,0,NA,0,43,1,0,0,0
"178",148571162,0,0,0,NA,0,41,1,1,1,1
"179",148571235,1,0,0,0,1,38,1,1,0,0
"180",148573099,1,0,0,0,1,34,1,1,0,0
"181",148574701,1,0,0,1,1,56,1,0,1,0
"182",148574741,1,1,1,0,1,30,1,1,1,0
"183",148576791,0,0,1,0,1,52,0,1,1,1
"184",148578084,0,0,0,NA,0,50,1,0,0,0
"185",148578176,0,0,0,1,1,56,1,0,1,0
"186",148578239,1,0,1,0,1,25,1,1,1,0
"187",148578243,1,1,1,0,1,25,1,1,0,0
"188",148579800,1,0,1,1,1,37,0,0,1,0
"189",148580516,1,1,1,NA,0,63,1,0,0,1
"190",148581385,1,0,0,NA,1,59,0,0,0,1
"191",148581424,0,0,0,NA,2,24,0,1,1,0
"192",148581669,0,0,1,0,1,40,0,1,1,1
"193",148581946,1,0,1,NA,2,58,1,1,1,0
"194",148584772,0,0,0,NA,3,62,0,1,0,1
"195",148587872,0,1,1,1,1,47,0,1,1,1
"196",148590148,1,0,1,0,1,31,1,1,0,0
"197",148590962,1,0,1,NA,0,38,1,1,0,1
"198",148591379,1,1,1,0,1,66,1,1,0,1
"199",148591639,1,0,0,NA,0,61,1,1,0,0
"200",148593542,0,0,1,0,1,65,0,1,0,1
"201",148593547,1,0,1,NA,0,63,1,1,0,0
"202",148595392,0,0,1,NA,3,60,0,1,0,1
"203",148596062,1,0,1,0,1,55,1,1,1,0
"204",148596460,0,1,1,0,1,63,0,1,0,1
"205",148597856,1,0,1,0,1,48,0,1,1,0
"206",148598224,1,1,0,NA,3,65,0,1,1,0
"207",148598845,0,0,0,NA,0,53,0,1,0,1
"208",148598950,0,0,1,0,1,48,1,1,0,0
"209",148599613,1,0,1,0,1,35,1,1,1,0
"210",148599621,1,0,1,NA,0,34,1,1,1,1
"211",148599623,0,0,0,1,1,51,1,1,1,1
"212",148599651,0,0,0,NA,0,45,1,0,0,0
"213",148599719,0,0,0,NA,2,54,0,0,0,1
"214",148600685,1,0,1,1,1,48,0,1,1,1
"215",148601487,0,0,0,NA,3,80,0,1,0,1
