To,From,Exports (Millions),Year
Costa Rica,Canada,26.85,2000
Costa Rica,Canada,27.12,2001
Costa Rica,Canada,28.67,2002
Costa Rica,Canada,29.02,2003
Costa Rica,Canada,30.64,2004
Costa Rica,Canada,52.08,2005
Costa Rica,Canada,69.24,2006
Costa Rica,Canada,59.45,2007
Costa Rica,Canada,49.86,2008
Costa Rica,Canada,45.95,2009
Costa Rica,Canada,89.01,2010
Costa Rica,Canada,85.12,2011
Costa Rica,Canada,67.88,2012
Costa Rica,Canada,78.03,2013
Costa Rica,Canada,69.15,2014
Costa Rica,Canada,100.34,2015
Costa Rica,Canada,85.45,2016
Costa Rica,Canada,77.17,2017
Costa Rica,Canada,80.37,2018
Costa Rica,Canada,105.31,2019
Costa Rica,El Salvador,132.17,2000
Costa Rica,El Salvador,151.78,2001
Costa Rica,El Salvador,136.42,2002
Costa Rica,El Salvador,169.19,2003
Costa Rica,El Salvador,194.35,2004
Costa Rica,El Salvador,201.07,2005
Costa Rica,El Salvador,236.93,2006
Costa Rica,El Salvador,258.20,2007
Costa Rica,El Salvador,264.11,2008
Costa Rica,El Salvador,215.80,2009
Costa Rica,El Salvador,271.34,2010
Costa Rica,El Salvador,278.22,2011
Costa Rica,El Salvador,293.70,2012
Costa Rica,El Salvador,299.25,2013
Costa Rica,El Salvador,284.30,2014
Costa Rica,El Salvador,284.85,2015
Costa Rica,El Salvador,274.37,2016
Costa Rica,El Salvador,286.57,2017
Costa Rica,El Salvador,295.76,2018
Costa Rica,El Salvador,309.33,2019
Costa Rica,Guatemala,185.03,2000
Costa Rica,Guatemala,211.14,2001
Costa Rica,Guatemala,221.79,2002
Costa Rica,Guatemala,240.01,2003
Costa Rica,Guatemala,260.31,2004
Costa Rica,Guatemala,285.44,2005
Costa Rica,Guatemala,319.49,2006
Costa Rica,Guatemala,348.70,2007
Costa Rica,Guatemala,357.32,2008
Costa Rica,Guatemala,334.97,2009
Costa Rica,Guatemala,359.90,2010
Costa Rica,Guatemala,395.65,2011
Costa Rica,Guatemala,414.82,2012
Costa Rica,Guatemala,433.12,2013
Costa Rica,Guatemala,464.44,2014
Costa Rica,Guatemala,522.80,2015
Costa Rica,Guatemala,516.79,2016
Costa Rica,Guatemala,525.94,2017
Costa Rica,Guatemala,570.94,2018
Costa Rica,Guatemala,595.43,2019
Costa Rica,Honduras,108.76,2000
Costa Rica,Honduras,122.63,2001
Costa Rica,Honduras,146.54,2002
Costa Rica,Honduras,154.11,2003
Costa Rica,Honduras,189.34,2004
Costa Rica,Honduras,222.87,2005
Costa Rica,Honduras,258.58,2006
Costa Rica,Honduras,296.96,2007
Costa Rica,Honduras,308.94,2008
Costa Rica,Honduras,279.96,2009
Costa Rica,Honduras,296.09,2010
Costa Rica,Honduras,330.88,2011
Costa Rica,Honduras,339.06,2012
Costa Rica,Honduras,313.94,2013
Costa Rica,Honduras,317.30,2014
Costa Rica,Honduras,331.66,2015
Costa Rica,Honduras,334.86,2016
Costa Rica,Honduras,366.03,2017
Costa Rica,Honduras,394.18,2018
Costa Rica,Honduras,394.85,2019
Costa Rica,Mexico,86.02,2000
Costa Rica,Mexico,81.41,2001
