obs,hdi,educ,imr,gdppc,unem,developing,europe,asia,africa,america,oceania
"Afghanistan",0.495959522801484,3.93,51.5,1734.723214,1.5,1,0,1,0,0,0
"Albania",0.791405876179537,10.0546184,7.8,12306.26221,13.9,1,1,0,0,0,0
"Algeria",0.758977696706234,7.986547848,20.6,13886.13366,12.2,1,0,0,1,0,0
"Andorra",0.856781345024909,10.15545101,3.2,43217.95224,5.4,0,1,0,0,0,0
"Angola",0.574487757656951,5.125459533,53.8,5725.327238,7.3,1,0,0,1,0,0
"AntiguaBarbuda",0.776163151213478,9.263093809,5.4,23768.47843,5.4,0,0,0,0,1,0
"Argentina",0.830095812117932,10.56496472,9.2,18282.09393,9.5,0,0,0,0,1,0
"Armenia",0.760010886473831,11.793905,11.3,9177.744159,17.7,1,0,1,0,0,0
"Australia",0.938378552404198,12.68304986,3,45439.30716,5.4,0,0,0,0,0,1
"Austria",0.913808548217478,12.55851074,2.9,46473.25716,4.8,0,1,0,0,0,0
"Azerbaijan",0.75386866073575,10.47972,20.5,16010.98904,5.2,0,0,1,0,0,0
"Bahamas",0.805483273566233,11.533,5.8,28705.2785,11.9,0,0,0,0,1,0
"Bahrain",0.837770190229584,9.411832983,6.3,41973.302,1,0,0,1,0,0,0
"Bangladesh",0.613679337404609,6.06183,26.9,3879.161524,4.3,1,0,1,0,0,0
"Barbados",0.813310489264994,10.5569,11.5,16839.00058,9.6,1,0,0,0,1,0
"Belarus",0.817067987091786,12.30584324,2.8,17741.86223,5.7,0,1,0,0,0,0
"Belgium",0.918841196910571,11.78389183,3.1,43217.95224,6.3,0,1,0,0,0,0
"Belize",0.720169787036352,9.795835793,12.2,7810.23806,9.4,1,0,0,0,1,0
"Benin",0.519834165001225,3.774,63.5,2151.54317,2.1,1,0,0,1,0,0
"Bhutan",0.617298752281719,3.137561559,25.6,9347.826454,2.2,1,0,1,0,0,0
"Bolivia",0.702842353222393,9.017540839,28,6986.046487,3.3,1,0,0,0,1,0
"BosniaHerzegovi",0.769187275316694,9.692916034,4.9,12755.99987,20.8,1,1,0,0,0,0
"Botswana",0.727787113644473,9.33,30.8,16518.23575,17.9,0,0,0,1,0,0
"Brazil",0.761152822824609,7.84104675,13.2,14282.72182,12.5,1,0,0,0,1,0
"BruneiDarussala",0.844586934536554,9.1,9,71802.45535,9.2,0,0,1,0,0,0
"Bulgaria",0.815710786220969,11.81482978,6.3,19320.75757,5.3,0,1,0,0,0,0
"BurkinaFaso",0.43354704878473,1.585573608,51.2,1755.592908,6.1,1,0,0,1,0,0
"Burundi",0.422881598194768,3.124365,42.5,660.2656371,1.5,1,0,0,1,0,0
"Cabo Verde",0.650692937500233,6.244572753,15,6661.986166,12.3,0,0,0,1,0,0
"Cambodia",0.581484980250685,4.844,25.1,3870.298402,1.1,1,0,1,0,0,0
"Cameroon",0.562725314054388,6.2917,55.1,3352.055013,3.4,1,0,0,1,0,0
"Canada",0.922111309344992,13.31536312,4.5,44051.04893,5.9,0,0,0,0,1,0
"CentralAfricanR",0.38066211113133,4.282,87.6,774.6877366,6.5,1,0,0,1,0,0
"Chad",0.40117596828544,2.409497071,73.4,1746.482075,2.2,1,0,0,1,0,0
"Chile",0.846947981694198,10.4469855,6.3,22873.80701,7.2,0,0,0,0,1,0
"China",0.757587428748823,7.9,8,16186.79261,4.4,1,0,1,0,0,0
"Colombia",0.760894930926648,8.3265809,12.7,13332.87387,9.1,1,0,0,0,1,0
"Comoros",0.537825656164943,4.908531258,52.2,2513.665243,3.7,1,0,0,1,0,0
"Congo",0.608499599934289,6.502271707,34.7,5024.082686,10.4,1,0,0,1,0,0
"Congo",0.458730070735528,6.75948,70,827.1382532,4.2,1,0,0,1,0,0
"Costa Rica",0.793519946378668,8.6671837,7.8,15684.57374,8.1,0,0,0,0,1,0
"Côte d'Ivoire",0.515747128403892,5.192,64.2,3733.04767,2.5,1,0,0,1,0,0
"Croatia",0.837313319411774,11.40518282,3.9,23636.78903,8.9,0,1,0,0,0,0
"Cuba",0.777714508577506,11.7507808,4.1,14282.72182,2.3,0,0,0,0,1,0
"Cyprus",0.872955393887627,12.10394114,2.1,33047.54579,8.1,0,1,0,0,0,0
"Czechia",0.890754657933538,12.74035051,2.6,33414.46151,2.4,0,1,0,0,0,0
"Denmark",0.929946115055509,12.58778516,3.7,47672.95664,5,0,1,0,0,0,0
"Djibouti",0.495433259547952,4,51.5,14282.72182,11.1,0,0,0,1,0,0
"Dominica",0.723788028755894,7.8,31.5,9466.520886,5.4,0,0,0,0,1,0
"DominicanRepubl",0.744640742308084,7.935346002,25,15821.20177,5.8,1,0,0,0,1,0
"Ecuador",0.757916350872878,8.98551,12.5,10412.19927,3.9,1,0,0,0,1,0
"Egypt",0.699726797920563,7.326,18.8,11013.73549,11.4,1,0,0,1,0,0
"ElSalvador",0.66668101830167,6.942757762,12.5,7392.898451,4.4,1,0,0,0,1,0
"EquatorialGuine",0.588421644686769,5.550890776,65.3,20864.58191,9.2,0,0,0,1,0,0
"Eritrea",0.433579620423195,3.9,32.1,14282.72182,6.5,0,0,0,1,0,0
"Estonia",0.881542297895028,13.0290394,2.1,30990.51455,5.5,0,1,0,0,0,0
"Eswatini",0.608081783662635,6.747809563,40.8,9530.37393,22.5,1,0,0,1,0,0
"Ethiopia",0.469849625340561,2.795442993,41,1794.290806,1.8,1,0,0,1,0,0
"Fiji",0.723698869420023,10.884,21.4,9781.112626,4.2,0,0,0,0,0,1
"Finland",0.925191724468301,12.43960917,1.9,41898.61587,7.8,0,1,0,0,0,0
"France",0.891056777724811,11.41703591,3.5,39555.54466,9.2,0,1,0,0,0,0
"Gabon",0.701625266147753,8.320069671,35.1,15922.19326,19.5,1,0,0,1,0,0
"Gambia",0.465724901352787,3.666,41.4,1516.689984,8.9,1,0,0,1,0,0
"Georgia",0.786359091897723,12.81457,9.7,10151.6974,14.1,0,0,1,0,0,0
"Germany",0.9387847060567,14.13215,3.1,45959.3619,3.4,0,1,0,0,0,0
"Ghana",0.595669716475157,7.184,35.7,4211.845784,6.7,1,0,0,1,0,0
"Greece",0.871952125926398,10.53957898,4.3,25140.70315,19.2,0,1,0,0,0,0
"Grenada",0.763383380917163,8.8,15.3,13970.48729,5.4,0,0,0,0,1,0
"Guatemala",0.651035337183962,6.467886134,23.1,7508.861608,2.7,1,0,0,0,1,0
"Guinea",0.465515000621699,2.707392597,56.4,2337.951524,3.6,1,0,0,1,0,0
"GuineaBissau",0.461406000722445,3.303495308,55.6,1596.35546,4.1,1,0,0,1,0,0
