price,age,bathroom,bedroom,buyage,chnone,dholborn,floorm2,prkspace,chtgas,chtelec,phouse
289950.1,31,2,5,33,0,16.2296,199,0,1,0,1
97000.04,111,1,1,25,0,14.07167,65,0,1,0,0
192000,101,1,2,53,0,14.32966,105,1,1,0,1
92999.96,21,1,1,29,0,14.48593,51,1,1,0,0
195000,71,1,3,32,0,14.72067,110,1,1,0,1
102000,16,1,1,27,0,14.37632,44,0,1,0,0
319999.9,71,1,4,41,0,14.39403,135,0,1,0,1
315000,66,1,4,36,0,14.45057,163,0,1,0,1
135000,101,1,2,26,0,13.89567,71,0,1,0,1
75000.02,51,1,2,21,1,13.89904,64,0,0,0,0
117500,101,2,2,28,0,13.4427,66,1,1,0,0
77000.04,71,1,1,39,0,13.18526,41,0,1,0,0
169999.9,13,2,2,54,0,12.76031,92,0,1,0,0
152500.1,11,1,2,28,0,13.94691,60,1,1,0,1
116000,51,1,2,27,0,13.28276,74,0,0,1,0
153950.1,31,1,3,28,0,13.28276,115,0,1,0,1
120000,31,1,2,23,0,12.09935,93,0,1,0,1
81999.97,36,1,2,28,0,12.21589,67,0,0,1,0
85999.99,71,1,2,39,0,11.43259,80,1,1,0,1
97999.98,71,1,2,29,0,11.60665,68,1,1,0,1
139000,101,1,3,35,0,11.35374,95,0,1,0,1
132000,51,1,3,39,0,11.15199,73,0,1,0,1
101000,41,1,2,58,0,13.20491,91,0,1,0,0
89949.99,101,1,1,33,0,13.48349,59,0,1,0,0
95999.97,66,1,2,32,0,14.06913,72,0,1,0,0
159000,101,1,2,28,0,14.07817,86,0,1,0,1
104950,101,1,1,51,0,13.5421,52,0,1,0,0
99995.01,11,1,1,30,0,14.45675,43,1,0,1,0
107000,22,1,2,23,1,14.80329,71,1,0,0,0
115000,11,1,1,24,0,16.67122,96,0,1,0,1
179950,51,1,3,38,0,16.425,124,0,1,0,1
179950,71,1,2,29,0,16.425,88,0,1,0,1
148999.9,66,1,3,39,0,16.8076,104,0,1,0,1
128000,141,1,2,30,0,18.45902,60,0,1,0,1
128000,141,1,2,30,0,18.45902,60,0,1,0,1
98500.05,31,1,2,26,0,17.98607,73,0,0,1,0
99950.01,51,1,1,27,0,18.11979,48,0,1,0,0
124950,36,1,2,65,0,15.52916,85,0,1,0,1
146000,101,1,3,27,0,15.46919,88,0,1,0,1
150000,101,1,3,30,0,16.32933,88,0,1,0,1
160000,111,1,3,30,0,16.02159,92,1,1,0,1
191500.1,111,1,2,32,0,11.78914,109,0,1,0,1
155000,16,2,2,52,0,12.22051,90,0,1,0,0
132000,36,1,2,34,0,11.80719,85,0,1,0,0
127000,101,1,2,27,0,11.2709,102,0,1,0,0
87899.99,31,1,1,31,0,11.65502,58,0,1,0,0
345000.1,71,3,4,34,0,11.29721,255,0,1,0,1
85000.01,31,1,2,25,1,11.40033,59,0,0,0,0
84994.98,31,1,2,25,0,11.36687,68,0,0,1,0
59998.98,31,1,1,28,0,11.63445,50,0,0,1,0
130000,71,1,3,38,0,13.28497,100,1,1,0,1
237000,91,1,5,36,0,12.54122,155,0,1,0,1
202000.1,96,2,3,35,0,12.66473,136,0,1,0,1
375000.1,91,2,6,49,0,12.26415,230,1,1,0,1
106000,41,1,3,37,0,12.34431,85,0,0,1,0
145355,101,1,3,30,1,12.12927,96,0,0,0,1
126000.1,81,1,2,51,0,12.21356,91,0,1,0,1
115000,31,1,2,28,0,12.17546,79,0,1,0,0
128055,51,1,2,43,0,12.10527,105,0,1,0,0
125000,41,1,3,34,1,12.76978,113,0,0,0,0
140000,18,2,2,28,0,12.4552,92,0,1,0,0
75000.02,41,1,1,40,1,12.92715,42,0,0,0,0
129950,16,1,2,25,1,12.48521,54,0,0,0,0
310499.9,71,1,4,30,0,13.99852,140,0,1,0,1
200000,66,1,3,34,1,15.84031,135,0,0,0,1
189950,71,1,3,29,0,17.80788,98,0,1,0,1
155000,61,1,2,26,0,17.9685,78,1,1,0,1
250000,61,2,4,53,0,17.59841,222,0,1,0,1
238000,71,1,3,54,0,16.21949,116,0,1,0,1
189994.9,71,1,3,32,0,18.3099,130,0,1,0,1
230000,71,1,3,37,0,18.19773,123,0,1,0,1
269999.9,71,2,4,40,0,18.35657,184,0,1,0,1
90999.96,31,1,2,35,0,19.16501,64,0,0,1,0
85999.99,66,1,2,26,0,19.16797,53,0,1,0,0
84000.04,71,1,2,39,0,19.23759,68,0,1,0,0
133000,51,1,3,36,0,19.77145,114,0,1,0,1
97000.04,66,1,2,26,0,19.05558,57,0,1,0,0
112000,51,1,2,37,0,19.11949,78,0,0,1,1
66749.98,41,1,2,43,0,19.29204,65,0,1,0,0
92999.96,11,1,2,32,0,18.54859,64,1,1,0,1
128500,36,1,3,38,0,18.49059,106,0,1,0,1
120000,51,1,3,38,0,18.44653,117,0,1,0,1
84500.03,13,1,1,30,0,17.86469,62,1,1,0,1
94999.96,41,1,2,27,0,17.99437,65,1,1,0,0
56000.02,51,1,1,32,0,17.79951,50,0,1,0,0
74000.02,11,1,1,25,0,19.61768,52,1,0,1,1
118000,11,1,2,47,0,19.01937,71,1,1,0,1
44999.98,16,1,1,30,0,19.5764,35,1,0,1,0
131000,401,1,2,26,0,19.87798,77,1,1,0,1
111000,131,1,2,27,0,19.98188,78,0,1,0,1
79999.97,14,1,1,46,0,20.52598,47,1,1,0,1
235999.9,71,1,3,41,0,19.95103,131,1,1,0,1
89949.99,41,1,2,54,0,21.70143,82,0,0,1,0
327999.9,41,2,4,45,0,19.1522,141,0,1,0,1
230000,71,1,3,30,0,20.64378,132,0,1,0,1
200000,33,2,4,28,0,20.1876,165,0,1,0,1
123000,31,1,3,29,0,21.30195,109,1,1,0,1
81999.97,21,1,1,19,0,20.65625,50,0,0,1,0
319999.9,26,2,4,29,0,14.30628,172,0,1,0,1
247999.9,33,2,4,44,0,14.69781,205,0,1,0,1
123500,48,1,2,27,0,15.66417,73,0,1,0,0
160000,111,1,2,54,0,15.66417,60,0,1,0,1
149950,21,1,2,25,0,15.6862,50,0,1,0,0
253000,66,2,4,30,0,14.84505,154,0,1,0,1
90499.99,46,1,2,27,0,14.43746,52,0,1,0,0
86999.96,66,1,2,31,0,14.71923,60,0,0,1,0
90000.02,46,1,2,34,0,14.7684,71,1,1,0,0
85000.01,51,1,2,28,0,20.55287,77,0,1,0,0
129995,71,2,3,33,0,19.58794,102,1,1,0,1
97999.98,51,1,3,46,0,18.4786,100,1,1,0,1
112000,11,1,2,42,0,16.29109,67,0,1,0,0
72499.97,81,1,1,26,0,16.61539,44,0,1,0,0
76499.97,101,1,1,34,0,16.56701,54,1,1,0,0
61999.97,101,1,1,41,0,16.56701,58,1,1,0,0
114500,66,1,3,25,0,16.57505,73,1,1,0,0
97999.98,71,1,2,30,0,16.18315,66,0,1,0,0
119950,4,1,2,25,0,15.81816,67,1,1,0,0
105000,9,1,1,34,0,15.78834,53,1,1,0,0
94999.96,6,1,2,36,0,15.80037,57,1,1,0,0
99000.02,16,1,2,28,0,15.26128,75,0,1,0,1
103000,101,1,2,35,0,14.46118,81,0,1,0,1
91999.97,91,1,2,49,0,14.00525,65,0,1,0,0
119000,112,1,2,26,0,13.82103,82,0,1,0,1
96500.05,111,1,3,39,0,13.47841,74,0,1,0,1
119950,101,1,2,45,0,13.95083,82,0,1,0,1
77000.04,71,1,2,26,1,14.42231,68,0,0,0,0
147000,101,1,3,28,0,14.2345,100,0,1,0,1
69949.98,51,1,1,36,0,14.85186,64,0,1,0,0
92999.96,71,1,2,31,0,16.05614,40,0,1,0,0
93999.98,71,1,2,31,0,16.05614,40,0,1,0,0
106000,51,1,2,31,0,17.09409,79,1,1,0,1
119950,71,1,2,46,0,16.73355,118,1,1,0,1
105000,101,1,2,33,0,15.93571,79,0,1,0,1
146650,66,1,3,43,0,16.17612,138,1,1,0,1
89949.99,66,1,2,30,0,16.25283,50,1,1,0,0
113000,31,1,2,36,1,15.99875,71,0,0,0,1
107000,4,1,2,28,0,14.56656,56,1,1,0,1
189000.1,71,1,3,40,0,15.81986,128,0,1,0,1
186999.9,71,1,3,40,0,15.81986,128,0,1,0,1
138000,16,2,2,29,0,15.68014,75,0,1,0,0
210000,21,2,4,33,0,16.29251,139,0,1,0,1
114000,21,1,2,26,0,16.29251,86,1,1,0,0
111000,26,1,1,41,0,15.86634,50,0,1,0,0
145000,101,1,2,50,0,15.04731,101,0,1,0,1
85000.01,91,1,2,30,1,14.52348,65,0,0,0,0
124000,91,1,2,24,0,14.22555,95,0,1,0,1
148999.9,71,1,3,37,0,14.65384,105,0,1,0,1
130000,81,1,3,32,0,14.57925,101,0,1,0,1
127000,101,1,2,34,0,14.57925,101,0,1,0,1
113500,101,1,2,33,1,14.43696,110,0,0,0,1
139000,91,1,3,29,1,14.47576,95,1,0,0,1
105000,101,1,2,32,0,14.75902,72,0,1,0,1
75999.97,46,1,1,37,0,14.82465,53,0,1,0,0
109000,31,1,2,36,0,15.30534,57,0,0,1,0
182000,94,2,4,30,0,14.53926,137,0,1,0,1
135000,71,1,3,41,0,14.53926,110,0,1,0,1
66999.99,16,1,1,20,0,15.33656,38,0,0,1,0
53599.99,101,1,1,27,0,15.23627,29,0,1,0,0
88499.98,12,1,1,27,0,14.92008,51,1,0,1,0
97000.04,71,1,3,29,0,14.65621,100,0,1,0,0
176500.1,71,1,3,26,0,14.75649,124,0,1,0,1
184950,71,1,3,32,0,14.79822,128,0,1,0,1
167500.1,71,1,3,35,0,15.18067,129,1,1,0,1
105500,71,1,2,25,0,15.40685,72,1,1,0,0
135000,66,1,3,55,0,14.31964,88,0,1,0,1
112500,26,1,2,26,0,14.41137,73,0,1,0,0
197500,71,1,3,54,0,16.09388,129,0,1,0,1
72000.01,31,1,1,25,1,18.43753,49,0,0,0,0
67950.02,33,1,1,28,0,18.62737,65,0,1,0,0
131500,33,1,3,34,0,18.78424,96,0,1,0,1
99999.97,26,1,2,31,1,18.71469,65,0,0,0,0
80500.03,25,1,1,38,0,19.03318,53,0,1,0,0
